clean_query,top_r1,top_title1,top_r2,top_title2,sum,length
vĩnh sinh,100,vĩnh sinh,100,vĩnh sinh,200,9
thám tử lừng danh conan,100,thám tử lừng danh conan,100,thám tử lừng danh conan,200,23
slam dunk,100,slam dunk,100,slam dunk,200,9
cardfight vanguard,100,cardfight vanguard,100,cardfight vanguard will dress,200,18
ore dake haireru kakushi dungeon,100,ore dake haireru kakushi dungeon,100,ore dake haireru kakushi dungeon,200,32
tonari no kaibutsu-kun,100,tonari no kaibutsu-kun,100,tonari no kaibutsu-kun,200,22
inuyasha,100,inuyasha,100,inuyasha,200,8
quân hữu vân,100,quân hữu vân,100,quân hữu vân,200,12
tokyo revengers,100,tokyo revengers,100,tokyo revengers,200,15
triệu hồi sư áo đen,100,triệu hồi sư áo đen,100,triệu hồi sư áo đen,200,19
chuyển sinh thành kiếm,100,chuyển sinh thành kiếm,100,chuyển sinh thành kiếm,200,22
asobi asobase,100,asobi asobase,100,asobi asobase,200,13
healer báo thù,100,healer báo thù,100,healer báo thù,200,14
doraemon movie,100,doraemon movie,100,doraemon movie,200,14
thiếu niên ca hành,100,thiếu niên ca hành,100,thiếu niên ca hành,200,18
made in abyss,100,made in abyss,100,made in abyss retsujitsu no ougonkyou,200,13
tru tiên,100,tru tiên,100,tru tiên,200,8
tớ muốn ăn tụy của cậu,100,tớ muốn ăn tụy của cậu,100,tớ muốn ăn tụy của cậu,200,22
phàm nhân tu tiên,100,phàm nhân tu tiên,100,phàm nhân tu tiên-phong khởi thiên nam,200,17
doremon,100,doremon,100,doremon,200,7
the dungeon of black company,100,the dungeon of black company,100,meikyuu black company-the dungeon of black company,200,28
violet evergarden,100,violet evergarden,100,violet evergarden,200,17
isekai cheat magician,100,isekai cheat magician,100,isekai cheat magician,200,21
spy x family,100,spy x family,100,spy x family,200,12
baki,100,baki,100,baki,200,4
arknights prelude to dawn,100,arknights prelude to dawn,100,arknights prelude to dawn,200,25
trường dạ khai thác giả,100,trường dạ khai thác giả,100,trường dạ khai thác giả,200,23
thần lan kỳ vực vô song châu,100,thần lan kỳ vực vô song châu,100,thần lan kỳ vực vô song châu,200,28
thần mộ,100,thần mộ,100,thần mộ,200,7
c3,100,c3,100,c3 cube x cursed x curious,200,2
độc bộ tiêu dao,100,độc bộ tiêu dao,100,độc bộ tiêu dao,200,15
gia đình điệp viên,100,gia đình điệp viên,100,gia đình điệp viên,200,18
parasite,100,parasite,100,parasite,200,8
chainsaw man,100,chainsaw man,100,chainsaw man,200,12
jujutsu kaisen,100,jujutsu kaisen,100,jujutsu kaisen,200,14
thất hình đại tội,100,thất hình đại tội,100,nanatsu no taizai thất hình đại tội,200,17
kage no jitsuryokusha ni naritakute,100,kage no jitsuryokusha ni naritakute,100,kage no jitsuryokusha ni naritakute,200,35
persona 5,100,persona 5,100,persona 5,200,9
isekai meikyuu de harem wo,100,isekai meikyuu de harem wo,100,isekai meikyuu de harem wo,200,26
ký sinh trùng,100,ký sinh trùng,100,ký sinh trùng,200,13
one punch man,100,one punch man,100,one punch man,200,13
đấu la đại lục,100,đấu la đại lục,100,đấu la đại lục,200,14
pocket monsters,100,pocket monsters,100,pocket monsters,200,15
kamen rider w,100,kamen rider w,100,kamen rider w,200,13
hội pháp sư fairy tail,100,hội pháp sư fairy tail,100,fairy tail,200,22
my hero academia,100,my hero academia,100,my hero academia,200,16
kyuukyoku shinka shita full dive rpg ga genjitsu yori mo kusoge dattara,100,kyuukyoku shinka shita full dive rpg ga genjitsu yori mo kusoge dattara,100,kyuukyoku shinka shita full dive rpg ga genjitsu yori mo kusoge dattara,200,71
the amazing world of gumball,100,the amazing world of gumball,100,the amazing world of gumball,200,28
pokemon movie,100,pokemon movie,100,pokemon,200,13
