title,genre,final
Naruto Shippuuden,"['hành động', 'hài hước', 'shounen', 'super power', 'martial arts']",naruto shippuuden
Fairy Tail,"['hành động', 'hài hước', 'phiêu lưu', 'phép thuật', 'shounen', 'fantasy']",fairy tail
Vua Hải Tặc,"['hành động', 'hài hước', 'phiêu lưu', 'drama', 'shounen', 'fantasy', 'super power']",vua hải tặc
Black Clover,"['hành động', 'hài hước', 'phép thuật', 'shounen', 'fantasy']",black clover
Boruto: Naruto Next Generations,"['hành động', 'hài hước', 'shounen', 'super power', 'martial arts']",boruto naruto next generations
Sword Art Online: Đao Kiếm Thần Vực Phần 2,"['hành động', 'phiêu lưu', 'romance', 'blu-ray', 'fantasy', 'game']",sword art online đao kiếm thần vực
Detective Conan ( Thám Tử Lừng Danh Conan ) Full,"['hài hước', 'phiêu lưu', 'shounen', 'mystery', 'police']",detective conanfull
Overlord,"['hành động', 'phiêu lưu', 'phép thuật', 'fantasy', 'game', 'siêu nhiên']",overlord
Bleach [Bản HD 1080p],"['hành động', 'phiêu lưu', 'fantasy']",bleach
Mahouka Koukou No Rettousei,"['hành động', 'phép thuật', 'học đường', 'romance', 'viễn tưởng', 'siêu nhiên']",mahouka koukou no rettousei
Gintama - Linh Hồn Bạc,"['hành động', 'hài hước', 'shounen', 'lịch sử', 'viễn tưởng', 'parody']",gintama-linh hồn bạc
Naruto Phần 1,"['hành động', 'hài hước', 'shounen', 'super power', 'martial arts']",naruto
Nanatsu no Taizai: Thất Hình Đại Tội,"['hành động', 'phiêu lưu', 'phép thuật', 'shounen', 'fantasy', 'siêu nhiên']",nanatsu no taizai thất hình đại tội
Pokemon Full,"['hành động', 'hài hước', 'phiêu lưu', 'fantasy', 'kid']",pokemon full
Tate no Yuusha no Nariagari,"['hành động', 'hài hước', 'phiêu lưu', 'drama', 'romance', 'fantasy', 'seinen']",tate no yuusha no nariagari
Strike The Blood,"['hành động', 'ecchi', 'học đường', 'harem', 'fantasy', 'siêu nhiên', 'vampire']",strike the blood
Tensei shitara Slime Datta Ken,"['shounen', 'fantasy']",tensei shitara slime datta ken
High School Dxd [BD],"['hành động', 'hài hước', 'ecchi', 'học đường', 'shounen', 'harem', 'romance', 'demons']",high school dxd
